	Df	SumOfSqs	R2	F	Pr(>F)	var	taxa
var13	1	3.78075121624261	0.0132488675381344	9.2241819636828	9.99900009999e-05	Wind_Speed	Fungi
var7	1	3.66729359863051	0.0128512785773805	8.94376722682354	9.99900009999e-05	Radiation	Fungi
var8	1	3.29077934004004	0.0115318615480734	8.01481461601173	9.99900009999e-05	Runoff	Fungi
var	1	3.18916230169777	0.0111757654699103	7.76452539260126	9.99900009999e-05	Actual_Evapotranspiration	Fungi
var10	1	2.640312762198	0.00925243477944896	6.41578431945622	9.99900009999e-05	Soil_Moisture	Fungi
var5	1	2.59693771330353	0.00910043581300172	6.30941785574581	9.99900009999e-05	Potential_Evapotranspiration	Fungi
var2	1	2.39866861319762	0.00840564239921587	5.82362765983607	9.99900009999e-05	Drought	Fungi
var12	1	1.85049584625737	0.00648468331944289	4.48405511788367	9.99900009999e-05	Vapor_Pressure_Deficit	Fungi
var11	1	1.77493325443247	0.00621988970762697	4.29980856417279	9.99900009999e-05	Vapor_Pressure	Fungi
var4	1	1.71837193896781	0.00602168217332679	4.16195763919761	9.99900009999e-05	Min_Temperature	Fungi
var6	1	1.50605338251802	0.00527765532009026	3.64498618563628	9.99900009999e-05	Precipitation	Fungi
var1	1	1.1601994662123	0.00406568117458342	2.80452527254303	9.99900009999e-05	Climate_Water_Deficit	Fungi
var3	1	1.12294047317095	0.00393511467200892	2.71410409049801	0.0001999800019998	Max_Temperature	Fungi
var9	1	0.833161479951789	0.0029196435984295	2.01166850720027	0.0018998100189981	Snow_Water_Equivalent	Fungi
