	Df	SumOfSqs	R2	F	Pr..F.	var	taxa	R2_percentage	label
var7	1	5.64903447230343	0.0245007971685401	17.5059657423655	9.99900009999e-05	Radiation	Bacteria	2.45	2.5
var11	1	3.60929727907808	0.015654119476385	11.0844383980521	9.99900009999e-05	Vapor_Pressure	Bacteria	1.57	1.6
var6	1	3.20410852463946	0.0138967488077961	9.82253522369325	9.99900009999e-05	Precipitation	Bacteria	1.39	1.4
var5	1	3.09230662222544	0.0134118454588197	9.47513533562006	9.99900009999e-05	Potential_Evapotranspiration	Bacteria	1.34	1.3
var	1	3.06280880500743	0.0132839085449778	9.38353426687939	9.99900009999e-05	Actual_Evapotranspiration	Bacteria	1.33	1.3
var8	1	2.99168177072759	0.012975418828968	9.16275754050707	9.99900009999e-05	Runoff	Bacteria	1.3	1.3
var12	1	2.60118686191487	0.0112817778000318	7.95312451016183	9.99900009999e-05	Vapor_Pressure_Deficit	Bacteria	1.13	1.1
var10	1	2.13445373303163	0.00925747899663942	6.5127545491063	9.99900009999e-05	Soil_Moisture	Bacteria	0.93	0.9
var4	1	2.08062760196663	0.00902402616039693	6.34702192569475	9.99900009999e-05	Min_Temperature	Bacteria	0.9	0.9
var13	1	2.0253969028938	0.00878448148031141	6.17704573564486	9.99900009999e-05	Wind_Speed	Bacteria	0.88	0.9
var2	1	1.87825544344466	0.00814630462536005	5.72460873045524	9.99900009999e-05	Drought	Bacteria	0.81	0.8
var1	1	1.74794891558899	0.00758114365415664	5.32442233756365	9.99900009999e-05	Climate_Water_Deficit	Bacteria	0.76	0.8
var9	1	1.32259090052722	0.00573629556513591	4.02126517448637	9.99900009999e-05	Snow_Water_Equivalent	Bacteria	0.57	0.6
var3	1	0.666632104034717	0.0028912937329504	2.02107525408238	0.0038996100389961	Max_Temperature	Bacteria	0.29	0.3
var131	1	3.78075121624261	0.0132488675381344	9.2241819636828	9.99900009999e-05	Wind_Speed	Fungi	1.32	1.3
var71	1	3.66729359863051	0.0128512785773805	8.94376722682354	9.99900009999e-05	Radiation	Fungi	1.29	1.3
var81	1	3.29077934004004	0.0115318615480734	8.01481461601173	9.99900009999e-05	Runoff	Fungi	1.15	1.1
var14	1	3.18916230169777	0.0111757654699103	7.76452539260126	9.99900009999e-05	Actual_Evapotranspiration	Fungi	1.12	1.1
var101	1	2.640312762198	0.00925243477944896	6.41578431945622	9.99900009999e-05	Soil_Moisture	Fungi	0.93	0.9
var51	1	2.59693771330353	0.00910043581300172	6.30941785574581	9.99900009999e-05	Potential_Evapotranspiration	Fungi	0.91	0.9
var21	1	2.39866861319762	0.00840564239921587	5.82362765983607	9.99900009999e-05	Drought	Fungi	0.84	0.8
var121	1	1.85049584625737	0.00648468331944289	4.48405511788367	9.99900009999e-05	Vapor_Pressure_Deficit	Fungi	0.65	0.7
var111	1	1.77493325443247	0.00621988970762697	4.29980856417279	9.99900009999e-05	Vapor_Pressure	Fungi	0.62	0.6
var41	1	1.71837193896781	0.00602168217332679	4.16195763919761	9.99900009999e-05	Min_Temperature	Fungi	0.6	0.6
var61	1	1.50605338251802	0.00527765532009026	3.64498618563628	9.99900009999e-05	Precipitation	Fungi	0.53	0.5
var15	1	1.1601994662123	0.00406568117458342	2.80452527254303	9.99900009999e-05	Climate_Water_Deficit	Fungi	0.41	0.4
var31	1	1.12294047317095	0.00393511467200892	2.71410409049801	0.0001999800019998	Max_Temperature	Fungi	0.39	0.4
var91	1	0.833161479951789	0.0029196435984295	2.01166850720027	0.0018998100189981	Snow_Water_Equivalent	Fungi	0.29	0.3
var22	1	3.29609401190608	0.0123409201097615	8.70909961913141	9.99900009999e-05	Drought	Eukaryotes	1.23	1.2
var82	1	2.71329893307114	0.0101588744877967	7.15340607244447	9.99900009999e-05	Runoff	Eukaryotes	1.02	1
var132	1	2.02744909494663	0.00759098108760424	5.33138425511145	9.99900009999e-05	Wind_Speed	Eukaryotes	0.76	0.8
var16	1	1.95681553838381	0.00732652167732607	5.14427525325336	9.99900009999e-05	Actual_Evapotranspiration	Eukaryotes	0.73	0.7
var92	1	1.78441902884081	0.00668105114651388	4.6880135071369	9.99900009999e-05	Snow_Water_Equivalent	Eukaryotes	0.67	0.7
var52	1	1.72223454103066	0.00644822593177198	4.52358255679229	9.99900009999e-05	Potential_Evapotranspiration	Eukaryotes	0.64	0.6
var122	1	1.71950387547434	0.00643800203483357	4.51636377746839	9.99900009999e-05	Vapor_Pressure_Deficit	Eukaryotes	0.64	0.6
var72	1	1.66199285660959	0.00622267477575749	4.36436232606162	0.0001999800019998	Radiation	Eukaryotes	0.62	0.6
var102	1	1.63411607080851	0.00611830117923827	4.29070776430318	9.99900009999e-05	Soil_Moisture	Eukaryotes	0.61	0.6
var42	1	1.2210503786848	0.00457174010174212	3.20113762014346	0.0008999100089991	Min_Temperature	Eukaryotes	0.46	0.5
var62	1	1.21389801356541	0.0045449608999914	3.18230118173699	0.0013998600139986	Precipitation	Eukaryotes	0.45	0.4
var112	1	1.13157636610558	0.00423674005709796	2.96557217823703	0.0016998300169983	Vapor_Pressure	Eukaryotes	0.42	0.4
var17	1	0.888666604913688	0.00332726055016579	2.32684261510524	0.0108989101089891	Climate_Water_Deficit	Eukaryotes	0.33	0.3
var32	1	0.777832607836288	0.00291228649346807	2.03579249693959	0.0245975402459754	Max_Temperature	Eukaryotes	0.29	0.3
